run_date,week,author,tokens,share_pct,is_residual,is_us
2026-08-26,2025-10-27,mistralai,103685958218,1.881,0,0
2026-08-26,2025-10-27,others,270550118230,4.909,1,0
2026-08-26,2025-11-03,x-ai,1605884267630,27.554,0,1
2026-08-26,2025-11-03,google,1117596484203,19.176,0,1
2026-08-26,2025-11-03,anthropic,946897559420,16.247,0,1
2026-08-26,2025-11-03,openai,496258762607,8.515,0,1
2026-08-26,2025-11-03,minimax,391791544072,6.722,0,0
2026-08-26,2025-11-03,deepseek,378720550863,6.498,0,0
2026-08-26,2025-11-03,qwen,234489507951,4.023,0,0
2026-08-26,2025-11-03,z-ai,175018091192,3.003,0,0
2026-08-26,2025-11-03,mistralai,113823450232,1.953,0,0
2026-08-26,2025-11-03,others,367727067327,6.309,1,0
2026-08-26,2025-11-10,x-ai,1702754280936,28.725,0,1
2026-08-26,2025-11-10,google,1098961659850,18.539,0,1
2026-08-26,2025-11-10,anthropic,869939774865,14.676,0,1
2026-08-26,2025-11-10,openai,532932547079,8.991,0,1
2026-08-26,2025-11-10,deepseek,352543386471,5.947,0,0
2026-08-26,2025-11-10,minimax,297321074536,5.016,0,0
2026-08-26,2025-11-10,openrouter,236428910555,3.989,0,0
2026-08-26,2025-11-10,qwen,235423527934,3.972,0,0
2026-08-26,2025-11-10,z-ai,156568722661,2.641,0,0
2026-08-26,2025-11-10,others,444840536727,7.504,1,0
2026-08-26,2025-11-17,x-ai,1950319454901,31.096,0,1
2026-08-26,2025-11-17,google,1249542695771,19.923,0,1
2026-08-26,2025-11-17,anthropic,746342378857,11.9,0,1
2026-08-26,2025-11-17,openai,620139618717,9.888,0,1
2026-08-26,2025-11-17,qwen,345966918454,5.516,0,0
2026-08-26,2025-11-17,deepseek,332263683202,5.298,0,0
2026-08-26,2025-11-17,openrouter,230176735178,3.67,0,0
2026-08-26,2025-11-17,minimax,202232089687,3.224,0,0
2026-08-26,2025-11-17,z-ai,153274511535,2.444,0,0
2026-08-26,2025-11-17,others,441574015366,7.041,1,0
2026-08-26,2025-11-24,x-ai,2929439060527,40.772,0,1
2026-08-26,2025-11-24,google,1293741014091,18.006,0,1
2026-08-26,2025-11-24,anthropic,761816162621,10.603,0,1
2026-08-26,2025-11-24,openai,660259602026,9.19,0,1
2026-08-26,2025-11-24,deepseek,338976372775,4.718,0,0
2026-08-26,2025-11-24,qwen,320906003501,4.466,0,0
2026-08-26,2025-11-24,minimax,175939697821,2.449,0,0
2026-08-26,2025-11-24,z-ai,150697866260,2.097,0,0
2026-08-26,2025-11-24,mistralai,126324449782,1.758,0,0
2026-08-26,2025-11-24,others,426785679937,5.94,1,0
2026-08-26,2025-12-01,x-ai,1714083990390,27.719,0,1
2026-08-26,2025-12-01,google,1301473615680,21.047,0,1
2026-08-26,2025-12-01,anthropic,878204184440,14.202,0,1
2026-08-26,2025-12-01,openai,708699565788,11.461,0,1
2026-08-26,2025-12-01,deepseek,400166773842,6.471,0,0
2026-08-26,2025-12-01,qwen,297523713269,4.811,0,0
2026-08-26,2025-12-01,mistralai,161436142073,2.611,0,0
2026-08-26,2025-12-01,z-ai,146312675628,2.366,0,0
2026-08-26,2025-12-01,minimax,140700267947,2.275,0,0
2026-08-26,2025-12-01,others,435088153489,7.036,1,0
2026-08-26,2025-12-08,google,1333911129772,23.107,0,1
2026-08-26,2025-12-08,openai,938302027120,16.254,0,1
2026-08-26,2025-12-08,x-ai,933968949401,16.179,0,1
2026-08-26,2025-12-08,anthropic,889644980095,15.411,0,1
2026-08-26,2025-12-08,deepseek,400110203128,6.931,0,0
2026-08-26,2025-12-08,qwen,314697849581,5.451,0,0
2026-08-26,2025-12-08,mistralai,217265757496,3.764,0,0
2026-08-26,2025-12-08,tngtech,138026301022,2.391,0,0
2026-08-26,2025-12-08,z-ai,133778090413,2.317,0,0
2026-08-26,2025-12-08,others,473041347691,8.194,1,0
2026-08-26,2025-12-15,google,1348473536777,23.088,0,1
2026-08-26,2025-12-15,openai,879259169131,15.055,0,1
2026-08-26,2025-12-15,x-ai,858253140381,14.695,0,1
2026-08-26,2025-12-15,anthropic,842834575009,14.431,0,1
