run_date,model,variant,providers,providers_with_stats,tok_s_weighted,tok_s_median,tok_s_max,latency_s_median,out_price_usd_per_mn_median,out_price_usd_per_mn_min,requests_30m,quantization,quant_providers,hf_slug
2026-07-28,xiaomi/mimo-v2.5-pro-20260422,standard,6,6,44.96,44.0,58.0,2.17,0.9152,0.696,34495,,,
2026-07-28,google/gemini-3.1-flash-lite-20260507,standard,2,2,71.07,74.0,82.0,0.59,1.5,1.5,329835,,,
2026-07-28,x-ai/grok-4.5-20260708,standard,2,2,53.23,55.0,58.0,1.04,6.0,6.0,12319,,,
2026-07-28,openai/gpt-5.6-sol-20260709,standard,3,2,33.81,26.5,43.0,2.69,30.0,30.0,23006,,,
2026-07-28,openai/gpt-oss-120b,standard,19,18,181.15,124.5,560.0,0.5,0.6,0.17,418596,,,
2026-07-28,xiaomi/mimo-v2.5-20260422,standard,7,7,37.24,39.0,73.0,1.13,0.28,0.224,442766,,,
2026-07-28,deepseek/deepseek-v4-flash-20260423,standard,21,21,52.46,37.0,87.0,0.97,0.28,0.18,2073061,,,
2026-07-28,tencent/hy3-20260706,standard,5,5,47.98,48.0,60.0,2.56,0.58,0.528,271105,,,
2026-07-28,deepseek/deepseek-v4-pro-20260423,standard,18,18,42.86,45.0,106.0,1.71,2.808,0.87,280058,,,
2026-07-28,z-ai/glm-5.2-20260616,standard,33,33,38.4,41.5,131.5,1.64,4.4,2.277,198900,,,
2026-07-28,minimax/minimax-m3-20260531,standard,8,8,56.23,47.5,145.0,1.53,1.2,0.96,90367,,,
2026-07-28,stepfun/step-3.7-flash-20260528,standard,3,3,48.15,88.0,157.0,2.77,1.15,1.15,45721,,,
2026-07-28,anthropic/claude-4.8-opus-20260528,standard,7,5,54.83,56.0,63.0,2.14,25.0,25.0,25983,,,
2026-07-28,moonshotai/kimi-k3-20260715,standard,7,7,27.72,26.0,63.0,2.54,15.0,15.0,54497,,,
2026-07-28,anthropic/claude-sonnet-5-20260630,standard,7,6,46.96,60.5,86.5,3.04,10.0,10.0,38119,,,
2026-07-28,google/gemini-3-flash-preview-20251217,standard,2,2,63.0,63.0,63.0,1.28,3.0,3.0,302747,,,
2026-07-28,anthropic/claude-4.6-sonnet-20260217,standard,8,8,39.56,43.5,76.0,1.16,15.0,15.0,116012,,,
2026-07-28,anthropic/claude-4.7-opus-20260416,standard,7,5,60.71,55.0,73.0,1.48,25.0,25.0,14810,,,
2026-07-28,google/gemini-2.5-flash-lite,standard,3,3,104.42,101.0,113.0,0.49,0.4,0.4,611675,,,
2026-07-28,google/gemini-2.5-flash,standard,4,4,84.66,82.5,90.0,0.6,2.5,2.5,673435,,,
2026-07-28,xiaomi/mimo-v2.5-pro-20260422,standard,6,6,44.96,44.0,58.0,2.17,0.9152,0.696,34495,,,
2026-07-28,google/gemini-3.1-flash-lite-20260507,standard,2,2,71.63,71.5,72.0,0.62,1.5,1.5,285112,,,
2026-07-28,x-ai/grok-4.5-20260708,standard,2,2,53.23,55.0,58.0,1.04,6.0,6.0,12319,,,
2026-07-28,openai/gpt-5.6-sol-20260709,standard,3,2,33.81,26.5,43.0,2.69,30.0,30.0,23006,,,
2026-07-28,openai/gpt-oss-120b,standard,19,18,157.4,110.0,537.0,0.49,0.6,0.17,410654,,,
2026-07-28,xiaomi/mimo-v2.5-20260422,standard,7,7,33.0,33.0,65.0,1.87,0.28,0.224,501516,,,
2026-07-28,deepseek/deepseek-v4-flash-20260423,standard,21,21,47.38,31.0,77.0,1.03,0.28,0.18,1930569,,,
2026-07-28,tencent/hy3-20260706,standard,5,5,48.46,42.0,49.0,2.63,0.58,0.528,259939,,,
2026-07-28,deepseek/deepseek-v4-pro-20260423,standard,18,18,43.28,41.5,108.0,1.8,2.808,0.87,296273,,,
2026-07-28,z-ai/glm-5.2-20260616,standard,33,33,40.41,43.0,130.0,1.6,4.4,2.2638,223528,,,
2026-07-28,minimax/minimax-m3-20260531,standard,8,8,56.23,47.5,145.0,1.53,1.2,0.96,90367,,,
2026-07-28,stepfun/step-3.7-flash-20260528,standard,3,3,45.48,45.0,200.0,2.33,1.15,1.15,48234,,,
2026-07-28,anthropic/claude-4.8-opus-20260528,standard,7,5,55.95,59.0,62.0,1.87,25.0,25.0,23749,,,
2026-07-28,moonshotai/kimi-k3-20260715,standard,7,7,27.72,26.0,63.0,2.54,15.0,15.0,54497,,,
