run_date,window,as_of,models,total_tokens,us_tokens,us_token_share_pct,free_tokens,requests,output_token_share_pct,est_spend_usd,est_us_spend_usd,us_spend_share_pct,avg_list_price_usd_per_mn,vwap_usd_per_mn,us_vwap_usd_per_mn,top5_volume_share_pct,top5_spend_share_pct,unpriced_token_share_pct,degraded,degrade_note,paid_tokens
2026-07-30,day,2026-07-29,451,8196705797925,2691135989617,32.83,799962834734,606091679,3.57,5800235.58,3741070.38,64.5,3.023,0.7946,1.6734,43.65,50.71,1.18,0,,7300009253442
2026-07-30,week,2026-07-29,467,58086392307929,17482843793410,30.1,5052082905072,3936405234,3.32,35737536.03,22053595.3,61.71,3.3365,0.6829,1.5602,49.35,42.29,1.21,0,,52333493004740
2026-07-31,day,2026-07-29,451,8196705797925,2691135989617,32.83,799962834734,606091679,3.57,5924225.53,3684538.17,62.19,3.0211,0.8115,1.6481,43.65,52.49,1.18,0,,7300009253442
2026-07-31,week,2026-07-29,467,58086392307929,17482843793410,30.1,5052082905072,3936405234,3.32,36697027.09,21802186.38,59.41,3.2765,0.7012,1.5424,49.35,44.0,1.21,0,,52333275788799
2026-07-31,day,2026-07-30,437,8321933504398,2808366819480,33.75,850423969927,595441371,3.47,6216763.45,3921290.3,63.08,3.3337,0.8454,1.6689,43.53,52.39,1.42,0,,7353432672193
2026-07-31,week,2026-07-30,466,57656331629978,17467002395012,30.3,5343408059310,3950260547,3.35,37479132.07,22116350.53,59.01,3.266,0.7269,1.5657,48.73,47.42,1.3,0,,51561659409889
2026-08-01,day,2026-07-30,437,8321933504398,2808366819480,33.75,850423969927,595441371,3.47,7626791.62,5295692.52,69.44,3.4879,1.0372,2.2539,43.53,44.68,1.42,0,,7353117956432
2026-08-01,week,2026-07-30,466,57656331629978,17467002395012,30.3,5343408059310,3950260547,3.35,46425478.04,30836174.23,66.42,3.5921,0.9004,2.183,48.73,40.52,1.31,0,,51559262647744
2026-08-01,day,2026-07-31,443,8296221896900,3066019617405,36.96,870574267705,586009421,3.37,6596714.81,4684805.71,71.02,2.9589,0.9037,1.7662,41.1,43.87,1.52,0,,7299938875179
2026-08-01,week,2026-07-31,471,57291468802526,17860915535492,31.18,5496193692171,3954757207,3.4,44656842.95,30518352.68,68.34,3.3047,0.8753,2.0879,47.32,40.31,1.36,0,,51018696959399
2026-08-02,day,2026-07-31,443,8296221899663,3066019617405,36.96,870574267705,586009423,3.37,6461717.03,4684805.71,72.5,2.9575,0.8852,1.7662,41.1,44.79,1.52,0,,7299938877942
2026-08-02,week,2026-07-31,471,57291468805289,17860915535492,31.18,5496193692171,3954757209,3.4,43563409.52,30518352.68,70.06,3.3034,0.8539,2.0879,47.32,41.24,1.36,0,,51018696962162
2026-08-02,day,2026-08-01,440,7066940419625,2477961314508,35.06,843448695085,521518956,3.36,4274254.8,2824417.45,66.08,3.4613,0.6946,1.3746,43.0,42.78,0.99,0,,6153662853551
2026-08-02,week,2026-08-01,471,57053027809516,18218215887489,31.93,5631050996334,3998272687,3.43,42406225.64,29923389.29,70.56,3.3199,0.8368,1.9873,45.49,42.61,1.31,0,,50676121559663
2026-08-03,day,2026-08-01,440,7066940419625,2477961314508,35.06,843448695085,521518956,3.36,4274254.8,2824417.45,66.08,3.4613,0.6946,1.3746,43.0,42.78,0.99,0,,6153662853551
2026-08-03,week,2026-08-01,471,57053027809516,18218215887489,31.93,5631050996334,3998272687,3.43,42406225.64,29923389.29,70.56,3.3199,0.8368,1.9873,45.49,42.61,1.31,0,,50676121559663
2026-08-03,day,2026-08-02,442,7232042961954,2487188506176,34.39,845778794129,504787182,3.04,4358805.35,2895549.39,66.43,3.4863,0.6924,1.396,46.38,43.91,1.26,0,,6295245627796
2026-08-03,week,2026-08-02,471,56788588911921,18635300957492,32.82,5739168654745,4005385651,3.36,43292860.78,29805996.13,68.85,3.3235,0.861,1.9168,43.17,42.1,1.35,0,,50282326724938
2026-08-04,day,2026-08-02,442,7232042961954,2487188506176,34.39,845778794129,504787182,3.04,4338394.28,2895444.29,66.74,3.4849,0.6892,1.3959,46.38,44.11,1.26,0,,6295245627796
2026-08-04,week,2026-08-02,471,56788588911921,18635300957492,32.82,5739168654745,4005385651,3.36,43035116.54,29805082.48,69.26,3.3225,0.8559,1.9168,43.17,42.35,1.35,0,,50282326724938
2026-08-04,day,2026-08-03,444,9143823075351,3032086997847,33.16,891031681223,567883824,2.93,6488853.41,4647985.24,71.63,3.4001,0.7934,1.7778,45.32,43.52,0.81,0,,8178315722134
2026-08-04,week,2026-08-03,472,57148085976718,19166178907923,33.54,5858329286019,3992727340,3.28,43493486.72,30159780.76,69.34,3.3105,0.8603,1.8671,40.89,42.73,1.28,0,,50556582792256
2026-08-05,day,2026-08-03,444,9143823075351,3032086997847,33.16,891031681223,567883824,2.93,6489487.85,4647985.24,71.62,3.4002,0.7935,1.7778,45.32,43.52,0.81,0,,8178315722134
2026-08-05,week,2026-08-03,472,57148085976718,19166178907923,33.54,5858329286019,3992727340,3.28,43497651.77,30159780.76,69.34,3.3106,0.8604,1.8671,40.89,42.72,1.28,0,,50556582792256
2026-08-05,day,2026-08-04,446,9996550853376,3177301515420,31.78,936867185231,594323167,2.76,6992847.77,4772170.7,68.24,3.9023,0.7777,1.736,46.19,43.02,0.68,0,,8991232764078
2026-08-05,week,2026-08-04,469,58254218512292,19740060760453,33.89,6038087428034,3976055602,3.19,43417557.88,30123811.68,69.38,3.3317,0.8419,1.8006,40.28,42.97,1.11,0,,51571093920987
