run_date,as_of,window_days,category,subcategory,sort,rank,app_id,app_name,total_tokens,total_requests
2026-07-28,2026-07-27,7,all,,trending,23,4056540,Halluna,31164464628,2640434
2026-07-28,2026-07-27,7,all,,trending,24,2511276,VidMuse,10097863151,238527
2026-07-28,2026-07-27,7,all,,trending,25,2273843,Fish Audio - the most realistic AI voice generator,10092712178,808900
2026-07-28,2026-07-27,7,all,,trending,26,3883653,Raylu,9937227504,1940014
2026-07-28,2026-07-27,7,all,,trending,27,3778673,LarpGPT Battles,8977302793,2327333
2026-07-28,2026-07-27,7,all,,trending,28,4220404,Rayline,8800167890,560640
2026-07-28,2026-07-27,7,all,,trending,29,184102,Open WebUI,48844050541,2348742
2026-07-28,2026-07-27,7,all,,trending,30,3473470,Bitsec,16063194437,1126060
2026-07-28,2026-07-27,7,all,,trending,31,2755865,AI Broker,21222236403,1352425
2026-07-28,2026-07-27,7,all,,trending,32,3222603,Agentic Deploy,8260122688,61282
2026-07-28,2026-07-27,7,all,,trending,33,3927367,Rulebase,8224239987,241260
2026-07-28,2026-07-27,7,all,,trending,34,2817517,Eastman AI Gateway,7978606556,905534
2026-07-28,2026-07-27,7,all,,trending,35,3288259,Tracer III RLVR Pipeline,7814435255,734106
2026-07-28,2026-07-27,7,all,,trending,36,3767370,Rebel,7594243430,176884
2026-07-28,2026-07-27,7,all,,trending,37,189563,OpenHands,49289095438,998273
2026-07-28,2026-07-27,7,all,,trending,38,2299803,Pocket AI,28704217647,2862977
2026-07-28,2026-07-27,7,all,,trending,39,3886237,ChainPatrol,21812895453,6277627
2026-07-28,2026-07-27,7,all,,trending,40,3844484,Craft,45208695194,7173036
2026-07-28,2026-07-27,7,all,,trending,41,3828701,Letaido,24966016079,320361
2026-07-28,2026-07-27,7,all,,trending,42,2374769,SquadStack AI,32792243038,4908581
2026-07-28,2026-07-27,7,all,,trending,43,2735766,nanobot,13294286065,393866
2026-07-28,2026-07-27,7,all,,trending,44,3906588,Zoo Code,71533940169,810056
2026-07-28,2026-07-27,7,all,,trending,45,3316379,ProVision.ai,11019774839,809100
2026-07-28,2026-07-27,7,all,,trending,46,2474521,Skyvern,11809902737,982651
2026-07-28,2026-07-27,7,all,,trending,47,3174833,OrationAI,19181869662,598046
